algorithm,run_id,step,dataset_name,mean_action_dist,lambda
none,g80s8lwg,15,antmaze-large-diverse-v2,0.5448521971702576,1.0
none,g80s8lwg,16,antmaze-large-diverse-v2,0.5933426022529602,1.0
none,g80s8lwg,17,antmaze-large-diverse-v2,0.6310374736785889,1.0
none,g80s8lwg,18,antmaze-large-diverse-v2,0.6081027984619141,1.0
none,g80s8lwg,19,antmaze-large-diverse-v2,0.5722781419754028,1.0
none,g80s8lwg,20,antmaze-large-diverse-v2,0.5364348888397217,1.0
none,g80s8lwg,21,antmaze-large-diverse-v2,0.5736716985702515,1.0
none,g80s8lwg,22,antmaze-large-diverse-v2,0.6022738218307495,1.0
none,g80s8lwg,23,antmaze-large-diverse-v2,0.5876561403274536,1.0
none,g80s8lwg,24,antmaze-large-diverse-v2,0.587289571762085,1.0
none,g80s8lwg,25,antmaze-large-diverse-v2,0.5846636295318604,1.0
none,g80s8lwg,26,antmaze-large-diverse-v2,0.6118894815444946,1.0
none,g80s8lwg,27,antmaze-large-diverse-v2,0.5498809814453125,1.0
none,g80s8lwg,28,antmaze-large-diverse-v2,0.5908540487289429,1.0
none,g80s8lwg,29,antmaze-large-diverse-v2,0.6646988391876221,1.0
none,g80s8lwg,30,antmaze-large-diverse-v2,0.6228155493736267,1.0
none,g80s8lwg,31,antmaze-large-diverse-v2,0.6054847836494446,1.0
none,g80s8lwg,32,antmaze-large-diverse-v2,0.611910343170166,1.0
none,g80s8lwg,33,antmaze-large-diverse-v2,0.6254688501358032,1.0
none,g80s8lwg,34,antmaze-large-diverse-v2,0.5870619416236877,1.0
none,g80s8lwg,35,antmaze-large-diverse-v2,0.5790148973464966,1.0
none,g80s8lwg,36,antmaze-large-diverse-v2,0.6102945804595947,1.0
none,g80s8lwg,37,antmaze-large-diverse-v2,0.5801181197166443,1.0
none,g80s8lwg,38,antmaze-large-diverse-v2,0.6143798232078552,1.0
none,g80s8lwg,39,antmaze-large-diverse-v2,0.6108207702636719,1.0
none,g80s8lwg,40,antmaze-large-diverse-v2,0.6239842772483826,1.0
none,g80s8lwg,41,antmaze-large-diverse-v2,0.598025918006897,1.0
